,index,origin,flight_bins
343,90,DAL,2
344,342,STL,2
345,353,TPA,2
346,45,BNA,2
347,221,MDW,3
348,267,PDX,3
349,229,MIA,3
350,167,IAD,3
351,310,SAN,3
352,127,FLL,3
353,59,BWI,3
354,332,SLC,3
355,185,JFK,3
356,219,MCO,3
357,93,DCA,3
358,47,BOS,3
359,271,PHL,3
360,119,EWR,3
361,243,MSP,3
362,194,LAS,3
363,205,LGA,4
364,103,DTW,4
365,169,IAH,4
366,272,PHX,4
367,323,SFO,4
368,321,SEA,4
369,196,LAX,4
370,74,CLT,4
371,94,DEN,4
372,95,DFW,4
373,22,ATL,4
374,257,ORD,4
