,0
C5,3
KS,3
AX,3
B6,3
F9,3
EV,3
G7,3
YV,2
G4,2
OH,2
UA,2
OO,2
ZW,2
AA,2
CP,2
NK,2
MQ,2
9E,2
WN,2
PT,2
YX,1
EM,1
VX,1
DL,1
QX,1
AS,1
HA,0
9K,0
