avg,month,year
3.18087453916359,1,2018
4.71446727834094,1,2019
4.14411644782184,2,2018
9.30654890401491,2,2019
2.11958063970897,3,2018
3.48723924397617,3,2019
3.59796634423115,4,2018
4.7109938747951,4,2019
5.97748212518873,5,2018
7.03146780424556,5,2019
8.81152336284698,6,2018
11.9939839651179,6,2019
8.9832228744556,7,2018
8.97192011525518,7,2019
10.0829577577958,8,2018
7.74528452275897,8,2019
2.98288034111654,9,2018
0.476529033472216,9,2019
3.06370295567245,10,2018
2.65021772587692,10,2019
5.60391421618043,11,2018
0.458005637903489,11,2019
3.71360401253135,12,2018
6.44268610998546,12,2019
