datetime,conditions
2018-05-26,"Rain, Partially cloudy"
2018-05-27,Partially cloudy
2018-05-28,Partially cloudy
2018-05-29,Partially cloudy
2018-05-30,"Rain, Partially cloudy"
2018-05-31,Partially cloudy
2018-06-01,Partially cloudy
2018-06-02,"Rain, Partially cloudy"
2018-06-03,"Rain, Partially cloudy"
2018-06-04,Clear
2018-06-05,"Rain, Partially cloudy"
2018-06-06,"Rain, Partially cloudy"
2018-06-07,Partially cloudy
2018-06-08,"Rain, Partially cloudy"
2018-06-09,"Rain, Partially cloudy"
2018-06-10,"Rain, Overcast"
2018-06-11,"Rain, Overcast"
2018-06-12,"Rain, Overcast"
2018-06-13,Partially cloudy
2018-06-14,Partially cloudy
2018-06-15,Partially cloudy
2018-06-16,"Rain, Partially cloudy"
2018-06-17,Partially cloudy
2018-06-18,"Rain, Partially cloudy"
2018-06-19,"Rain, Partially cloudy"
2018-06-20,Overcast
2018-06-21,"Rain, Overcast"
2018-06-22,"Rain, Overcast"
2018-06-23,Partially cloudy
2018-06-24,Partially cloudy
2018-06-25,Partially cloudy
2018-06-26,"Rain, Overcast"
2018-06-27,"Rain, Partially cloudy"
2018-06-28,Partially cloudy
2018-06-29,Partially cloudy
2018-06-30,Partially cloudy
2018-07-01,"Rain, Partially cloudy"
2018-07-02,Partially cloudy
2018-07-03,Partially cloudy
2018-07-04,"Rain, Partially cloudy"
2018-07-05,"Rain, Partially cloudy"
2018-07-06,Partially cloudy
2018-07-07,Clear
2018-07-08,Clear
2018-07-09,Partially cloudy
2018-07-10,Partially cloudy
2018-07-11,Partially cloudy
2018-07-12,Partially cloudy
2018-07-13,Partially cloudy
2018-07-14,"Rain, Partially cloudy"
2018-07-15,Partially cloudy
2018-07-16,"Rain, Partially cloudy"
2018-07-17,Partially cloudy
2018-07-18,Partially cloudy
2018-07-19,"Rain, Partially cloudy"
2018-07-20,"Rain, Partially cloudy"
2018-07-21,"Rain, Overcast"
2018-07-22,"Rain, Overcast"
2018-07-23,Partially cloudy
2018-07-24,Partially cloudy
2018-07-25,Partially cloudy
2018-07-26,"Rain, Partially cloudy"
2018-07-27,Partially cloudy
2018-07-28,Partially cloudy
2018-07-29,"Rain, Partially cloudy"
2018-07-30,Partially cloudy
2018-07-31,"Rain, Partially cloudy"
2018-08-01,"Rain, Partially cloudy"
2018-08-02,"Rain, Partially cloudy"
2018-08-03,Partially cloudy
2018-08-04,Partially cloudy
2018-08-05,"Rain, Partially cloudy"
2018-08-06,"Rain, Overcast"
2018-08-07,"Rain, Partially cloudy"
2018-08-08,"Rain, Partially cloudy"
2018-08-09,"Rain, Partially cloudy"
2018-08-10,Partially cloudy
2018-08-11,Partially cloudy
2018-08-12,Clear
2018-08-13,Partially cloudy
2018-08-14,Partially cloudy
2018-08-15,"Rain, Partially cloudy"
2018-08-16,"Rain, Partially cloudy"
2018-08-17,"Rain, Partially cloudy"
2018-08-18,Partially cloudy
2018-08-19,Partially cloudy
2018-08-20,"Rain, Partially cloudy"
2018-08-21,"Rain, Partially cloudy"
2018-08-22,Partially cloudy
2018-08-23,Clear
2018-08-24,"Rain, Partially cloudy"
2018-08-25,"Rain, Partially cloudy"
2018-08-26,Partially cloudy
2018-08-27,Partially cloudy
2018-08-28,"Rain, Partially cloudy"
2018-08-29,"Rain, Overcast"
2018-08-30,Partially cloudy
2018-08-31,"Rain, Partially cloudy"
2018-09-01,"Rain, Partially cloudy"
2018-09-02,"Rain, Partially cloudy"
2018-09-03,"Rain, Partially cloudy"
2018-09-04,Partially cloudy
2018-09-05,"Rain, Partially cloudy"
2018-09-06,"Rain, Overcast"
2018-09-07,"Rain, Overcast"
2018-09-08,Overcast
2018-09-09,Partially cloudy
2018-09-10,Partially cloudy
2018-09-11,Clear
2018-09-12,Clear
2018-09-13,Partially cloudy
2018-09-14,Clear
2018-09-15,Clear
2018-09-16,Partially cloudy
2018-09-17,Partially cloudy
2018-09-18,"Rain, Partially cloudy"
2018-09-19,"Rain, Partially cloudy"
2018-09-20,Partially cloudy
2018-09-21,Partially cloudy
2018-09-22,Partially cloudy
2018-09-23,Clear
2018-09-24,"Rain, Partially cloudy"
2018-09-25,"Rain, Partially cloudy"
2018-09-26,Partially cloudy
2018-09-27,Partially cloudy
2018-09-28,"Rain, Overcast"
2018-09-29,"Rain, Partially cloudy"
2018-09-30,"Rain, Overcast"
2018-10-01,"Rain, Overcast"
2018-10-02,"Rain, Overcast"
2018-10-03,Partially cloudy
2018-10-04,"Rain, Partially cloudy"
2018-10-05,"Rain, Overcast"
2018-10-06,"Rain, Overcast"
2018-10-07,"Rain, Overcast"
2018-10-08,"Rain, Partially cloudy"
2018-10-09,"Rain, Partially cloudy"
2018-10-10,"Rain, Partially cloudy"
2018-10-11,Partially cloudy
2018-10-12,Partially cloudy
2018-10-13,Partially cloudy
2018-10-14,"Rain, Partially cloudy"
2018-10-15,"Rain, Partially cloudy"
2018-10-16,Clear
2018-10-17,Clear
2018-10-18,Clear
2018-10-19,"Rain, Partially cloudy"
2018-10-20,Partially cloudy
2018-10-21,Partially cloudy
2018-10-22,Partially cloudy
2018-10-23,Clear
2018-10-24,Partially cloudy
2018-10-25,Partially cloudy
2018-10-26,Overcast
2018-10-27,"Rain, Overcast"
2018-10-28,"Rain, Overcast"
2018-10-29,Partially cloudy
2018-10-30,"Rain, Overcast"
2018-10-31,"Rain, Partially cloudy"
2018-11-01,Overcast
2018-11-02,Partially cloudy
2018-11-03,"Rain, Partially cloudy"
2018-11-04,"Rain, Overcast"
2018-11-05,"Rain, Overcast"
2018-11-06,"Rain, Overcast"
2018-11-07,Overcast
2018-11-08,Overcast
2018-11-09,"Snow, Overcast"
2018-11-10,Partially cloudy
2018-11-11,Partially cloudy
2018-11-12,Partially cloudy
2018-11-13,Partially cloudy
2018-11-14,Partially cloudy
2018-11-15,"Snow, Partially cloudy"
2018-11-16,Overcast
2018-11-17,"Rain, Overcast"
2018-11-18,"Rain, Partially cloudy"
2018-11-19,Partially cloudy
2018-11-20,Partially cloudy
2018-11-21,Overcast
2018-11-22,Partially cloudy
2018-11-23,"Rain, Partially cloudy"
2018-11-24,"Rain, Overcast"
2018-11-25,"Rain, Overcast"
2018-11-26,"Snow, Overcast"
2018-11-27,Overcast
2018-11-28,"Snow, Partially cloudy"
2018-11-29,"Rain, Overcast"
2018-11-30,Partially cloudy
2018-12-01,"Rain, Overcast"
2018-12-02,"Rain, Overcast"
2018-12-03,"Rain, Overcast"
2018-12-04,Overcast
2018-12-05,Overcast
2018-12-06,Partially cloudy
2018-12-07,Partially cloudy
2018-12-08,Partially cloudy
2018-12-09,Partially cloudy
2018-12-10,Clear
2018-12-11,Partially cloudy
2018-12-12,Partially cloudy
2018-12-13,"Rain, Partially cloudy"
2018-12-14,"Rain, Overcast"
2018-12-15,Partially cloudy
2018-12-16,Partially cloudy
2018-12-17,Partially cloudy
2018-12-18,Partially cloudy
2018-12-19,Partially cloudy
2018-12-20,"Rain, Overcast"
2018-12-21,"Rain, Overcast"
2018-12-22,Overcast
2018-12-23,Overcast
2018-12-24,Partially cloudy
2018-12-25,"Rain, Partially cloudy"
2018-12-26,Partially cloudy
2018-12-27,"Rain, Overcast"
2018-12-28,"Snow, Overcast"
2018-12-29,"Snow, Overcast"
2018-12-30,Partially cloudy
2018-12-31,"Rain, Overcast"
2019-01-01,"Snow, Overcast"
2019-01-02,"Snow, Partially cloudy"
2019-01-03,Clear
2019-01-04,Clear
2019-01-05,Partially cloudy
2019-01-06,Partially cloudy
2019-01-07,"Rain, Partially cloudy"
2019-01-08,Partially cloudy
2019-01-09,Partially cloudy
2019-01-10,Partially cloudy
2019-01-11,Partially cloudy
2019-01-12,"Snow, Overcast"
2019-01-13,"Snow, Partially cloudy"
2019-01-14,Partially cloudy
2019-01-15,Overcast
2019-01-16,Overcast
2019-01-17,Overcast
2019-01-18,"Snow, Overcast"
2019-01-19,"Snow, Partially cloudy"
2019-01-20,Partially cloudy
2019-01-21,Partially cloudy
2019-01-22,"Snow, Partially cloudy"
2019-01-23,"Snow, Overcast"
2019-01-24,Partially cloudy
2019-01-25,"Snow, Partially cloudy"
2019-01-26,"Snow, Partially cloudy"
2019-01-27,Partially cloudy
2019-01-28,"Snow, Partially cloudy"
2019-01-29,Partially cloudy
2019-01-30,Clear
2019-01-31,"Snow, Partially cloudy"
