name,datetime,conditions
"Jacksonville, FL",2019-12-26,1
"Jacksonville, FL",2019-12-27,2
"Jacksonville, FL",2019-12-28,2
"Jacksonville, FL",2019-12-29,2
"Jacksonville, FL",2019-12-30,2
"Jacksonville, FL",2019-12-31,1
"North Platte, NE",2019-12-14,3
"North Platte, NE",2019-12-15,3
"North Platte, NE",2019-12-16,0
"North Platte, NE",2019-12-17,0
"North Platte, NE",2019-12-18,0
"North Platte, NE",2019-12-19,0
"North Platte, NE",2019-12-20,0
"North Platte, NE",2019-12-21,0
"North Platte, NE",2019-12-22,0
"North Platte, NE",2019-12-23,0
"North Platte, NE",2019-12-24,0
"North Platte, NE",2019-12-25,1
"North Platte, NE",2019-12-26,1
"North Platte, NE",2019-12-27,3
"North Platte, NE",2019-12-28,3
"North Platte, NE",2019-12-29,3
"North Platte, NE",2019-12-30,0
"North Platte, NE",2019-12-31,0
"Everett, WA",2019-12-14,2
"Everett, WA",2019-12-15,2
"Everett, WA",2019-12-16,1
"Everett, WA",2019-12-17,1
"Everett, WA",2019-12-18,2
"Everett, WA",2019-12-19,2
"Everett, WA",2019-12-20,2
"Everett, WA",2019-12-21,2
"Everett, WA",2019-12-22,2
"Everett, WA",2019-12-23,2
"Everett, WA",2019-12-24,1
"Everett, WA",2019-12-25,1
"Everett, WA",2019-12-26,1
"Everett, WA",2019-12-27,1
"Everett, WA",2019-12-28,1
"Everett, WA",2019-12-29,1
"Everett, WA",2019-12-30,2
"Everett, WA",2019-12-31,2
"Ithaca/Cortland, NY",2019-12-14,3
"Ithaca/Cortland, NY",2019-12-15,3
"Ithaca/Cortland, NY",2019-12-16,1
"Ithaca/Cortland, NY",2019-12-17,3
"Ithaca/Cortland, NY",2019-12-18,3
"Ithaca/Cortland, NY",2019-12-19,3
"Ithaca/Cortland, NY",2019-12-20,1
"Ithaca/Cortland, NY",2019-12-21,0
"Ithaca/Cortland, NY",2019-12-22,3
"Ithaca/Cortland, NY",2019-12-23,0
"Ithaca/Cortland, NY",2019-12-24,1
"Ithaca/Cortland, NY",2019-12-25,0
"Ithaca/Cortland, NY",2019-12-26,1
"Ithaca/Cortland, NY",2019-12-27,2
"Ithaca/Cortland, NY",2019-12-28,1
"Ithaca/Cortland, NY",2019-12-29,3
"Ithaca/Cortland, NY",2019-12-30,2
"Ithaca/Cortland, NY",2019-12-31,3
"Adak Island, AK",2019-12-14,2
"Adak Island, AK",2019-12-15,2
"Adak Island, AK",2019-12-16,2
"Adak Island, AK",2019-12-17,2
"Adak Island, AK",2019-12-18,2
"Adak Island, AK",2019-12-19,2
"Adak Island, AK",2019-12-20,1
"Adak Island, AK",2019-12-21,2
"Adak Island, AK",2019-12-22,2
"Adak Island, AK",2019-12-23,3
"Adak Island, AK",2019-12-24,3
"Adak Island, AK",2019-12-25,2
"Adak Island, AK",2019-12-26,2
"Adak Island, AK",2019-12-27,3
"Adak Island, AK",2019-12-28,1
"Adak Island, AK",2019-12-29,1
"Adak Island, AK",2019-12-30,1
"Adak Island, AK",2019-12-31,3
"Yuma, AZ",2019-12-14,0
"Yuma, AZ",2019-12-15,0
"Yuma, AZ",2019-12-16,0
"Yuma, AZ",2019-12-17,0
"Yuma, AZ",2019-12-18,0
"Yuma, AZ",2019-12-19,0
"Yuma, AZ",2019-12-20,0
"Yuma, AZ",2019-12-21,0
"Yuma, AZ",2019-12-22,0
"Yuma, AZ",2019-12-23,2
"Yuma, AZ",2019-12-24,1
"Yuma, AZ",2019-12-25,0
"Yuma, AZ",2019-12-26,0
"Yuma, AZ",2019-12-27,1
"Yuma, AZ",2019-12-28,0
"Yuma, AZ",2019-12-29,0
"Yuma, AZ",2019-12-30,1
"Yuma, AZ",2019-12-31,0
"Plattsburgh, NY",2019-12-14,2
"Plattsburgh, NY",2019-12-15,3
"Plattsburgh, NY",2019-12-16,1
"Plattsburgh, NY",2019-12-17,3
"Plattsburgh, NY",2019-12-18,3
"Plattsburgh, NY",2019-12-19,0
"Plattsburgh, NY",2019-12-20,1
"Plattsburgh, NY",2019-12-21,1
"Plattsburgh, NY",2019-12-22,1
"Plattsburgh, NY",2019-12-23,1
"Plattsburgh, NY",2019-12-24,0
"Plattsburgh, NY",2019-12-25,0
"Plattsburgh, NY",2019-12-26,1
"Plattsburgh, NY",2019-12-27,2
"Plattsburgh, NY",2019-12-28,1
"Plattsburgh, NY",2019-12-29,3
"Plattsburgh, NY",2019-12-30,3
"Plattsburgh, NY",2019-12-31,3
"Garden City, KS",2019-12-14,1
"Garden City, KS",2019-12-15,1
"Garden City, KS",2019-12-16,1
"Garden City, KS",2019-12-17,0
"Garden City, KS",2019-12-18,0
"Garden City, KS",2019-12-19,0
"Garden City, KS",2019-12-20,0
"Garden City, KS",2019-12-21,0
"Garden City, KS",2019-12-22,0
"Garden City, KS",2019-12-23,0
"Garden City, KS",2019-12-24,0
"Garden City, KS",2019-12-25,0
"Garden City, KS",2019-12-26,0
"Garden City, KS",2019-12-27,3
"Garden City, KS",2019-12-28,2
"Garden City, KS",2019-12-29,1
"Garden City, KS",2019-12-30,0
"Garden City, KS",2019-12-31,0
"Sault Ste. Marie, MI",2019-12-14,3
"Sault Ste. Marie, MI",2019-12-15,3
"Sault Ste. Marie, MI",2019-12-16,1
"Sault Ste. Marie, MI",2019-12-17,3
"Sault Ste. Marie, MI",2019-12-18,3
"Sault Ste. Marie, MI",2019-12-19,3
"Sault Ste. Marie, MI",2019-12-20,1
"Sault Ste. Marie, MI",2019-12-21,1
"Sault Ste. Marie, MI",2019-12-22,0
"Sault Ste. Marie, MI",2019-12-23,0
"Sault Ste. Marie, MI",2019-12-24,1
"Sault Ste. Marie, MI",2019-12-25,1
"Sault Ste. Marie, MI",2019-12-26,2
"Sault Ste. Marie, MI",2019-12-27,2
"Sault Ste. Marie, MI",2019-12-28,1
"Sault Ste. Marie, MI",2019-12-29,2
"Sault Ste. Marie, MI",2019-12-30,3
"Sault Ste. Marie, MI",2019-12-31,3
"Honolulu, HI",2019-12-14,2
"Honolulu, HI",2019-12-15,2
"Honolulu, HI",2019-12-16,2
"Honolulu, HI",2019-12-17,2
"Honolulu, HI",2019-12-18,2
"Honolulu, HI",2019-12-19,1
"Honolulu, HI",2019-12-20,2
"Honolulu, HI",2019-12-21,2
"Honolulu, HI",2019-12-22,1
"Honolulu, HI",2019-12-23,2
"Honolulu, HI",2019-12-24,2
"Honolulu, HI",2019-12-25,2
"Honolulu, HI",2019-12-26,2
"Honolulu, HI",2019-12-27,2
"Honolulu, HI",2019-12-28,2
"Honolulu, HI",2019-12-29,1
"Honolulu, HI",2019-12-30,1
"Honolulu, HI",2019-12-31,2
"Manhattan/Ft. Riley, KS",2019-12-14,1
"Manhattan/Ft. Riley, KS",2019-12-15,3
"Manhattan/Ft. Riley, KS",2019-12-16,1
"Manhattan/Ft. Riley, KS",2019-12-17,1
"Manhattan/Ft. Riley, KS",2019-12-18,0
"Manhattan/Ft. Riley, KS",2019-12-19,0
"Manhattan/Ft. Riley, KS",2019-12-20,0
"Manhattan/Ft. Riley, KS",2019-12-21,0
"Manhattan/Ft. Riley, KS",2019-12-22,1
"Manhattan/Ft. Riley, KS",2019-12-23,0
"Manhattan/Ft. Riley, KS",2019-12-24,0
"Manhattan/Ft. Riley, KS",2019-12-25,0
"Manhattan/Ft. Riley, KS",2019-12-26,1
"Manhattan/Ft. Riley, KS",2019-12-27,3
"Manhattan/Ft. Riley, KS",2019-12-28,2
"Manhattan/Ft. Riley, KS",2019-12-29,2
"Manhattan/Ft. Riley, KS",2019-12-30,1
"Manhattan/Ft. Riley, KS",2019-12-31,0
"Ogdensburg, NY",2019-12-14,3
"Ogdensburg, NY",2019-12-15,3
"Ogdensburg, NY",2019-12-16,0
"Ogdensburg, NY",2019-12-17,3
"Ogdensburg, NY",2019-12-18,3
"Ogdensburg, NY",2019-12-19,3
"Ogdensburg, NY",2019-12-20,0
"Ogdensburg, NY",2019-12-21,0
"Ogdensburg, NY",2019-12-22,0
"Ogdensburg, NY",2019-12-23,0
"Ogdensburg, NY",2019-12-24,0
"Ogdensburg, NY",2019-12-25,0
"Ogdensburg, NY",2019-12-26,0
"Ogdensburg, NY",2019-12-27,3
"Ogdensburg, NY",2019-12-28,0
"Ogdensburg, NY",2019-12-29,3
"Ogdensburg, NY",2019-12-30,3
"Ogdensburg, NY",2019-12-31,3
"Monterey, CA",2019-12-14,2
"Monterey, CA",2019-12-15,0
"Monterey, CA",2019-12-16,0
"Monterey, CA",2019-12-17,2
"Monterey, CA",2019-12-18,2
"Monterey, CA",2019-12-19,2
"Monterey, CA",2019-12-20,0
"Monterey, CA",2019-12-21,0
"Monterey, CA",2019-12-22,2
"Monterey, CA",2019-12-23,1
"Monterey, CA",2019-12-24,1
"Monterey, CA",2019-12-25,2
"Monterey, CA",2019-12-26,2
"Monterey, CA",2019-12-27,0
"Monterey, CA",2019-12-28,0
"Monterey, CA",2019-12-29,2
"Monterey, CA",2019-12-30,2
"Monterey, CA",2019-12-31,0
"Tucson, AZ",2019-12-14,0
"Tucson, AZ",2019-12-15,0
"Tucson, AZ",2019-12-16,0
"Tucson, AZ",2019-12-17,0
"Tucson, AZ",2019-12-18,0
"Tucson, AZ",2019-12-19,0
"Tucson, AZ",2019-12-20,0
"Tucson, AZ",2019-12-21,0
"Tucson, AZ",2019-12-22,0
"Tucson, AZ",2019-12-23,1
"Tucson, AZ",2019-12-24,2
"Tucson, AZ",2019-12-25,2
"Tucson, AZ",2019-12-26,1
"Tucson, AZ",2019-12-27,2
"Tucson, AZ",2019-12-28,1
"Tucson, AZ",2019-12-29,0
"Tucson, AZ",2019-12-30,0
"Tucson, AZ",2019-12-31,0
"Charlotte, NC",2019-12-14,2
"Charlotte, NC",2019-12-15,0
"Charlotte, NC",2019-12-16,1
"Charlotte, NC",2019-12-17,2
"Charlotte, NC",2019-12-18,0
"Charlotte, NC",2019-12-19,0
"Charlotte, NC",2019-12-20,1
"Charlotte, NC",2019-12-21,1
"Charlotte, NC",2019-12-22,2
"Charlotte, NC",2019-12-23,2
"Charlotte, NC",2019-12-24,1
"Charlotte, NC",2019-12-25,1
"Charlotte, NC",2019-12-26,1
"Charlotte, NC",2019-12-27,2
"Charlotte, NC",2019-12-28,1
"Charlotte, NC",2019-12-29,2
"Charlotte, NC",2019-12-30,1
"Charlotte, NC",2019-12-31,0
"Cincinnati, OH",2019-12-14,2
"Cincinnati, OH",2019-12-15,2
"Cincinnati, OH",2019-12-16,2
"Cincinnati, OH",2019-12-17,2
"Cincinnati, OH",2019-12-18,1
"Cincinnati, OH",2019-12-19,0
"Cincinnati, OH",2019-12-20,0
"Cincinnati, OH",2019-12-21,0
"Cincinnati, OH",2019-12-22,0
"Cincinnati, OH",2019-12-23,0
"Cincinnati, OH",2019-12-24,1
"Cincinnati, OH",2019-12-25,1
"Cincinnati, OH",2019-12-26,1
"Cincinnati, OH",2019-12-27,1
"Cincinnati, OH",2019-12-28,2
"Cincinnati, OH",2019-12-29,2
"Cincinnati, OH",2019-12-30,2
"Cincinnati, OH",2019-12-31,1
"Ponce, PR",2019-12-14,2
"Ponce, PR",2019-12-15,2
"Ponce, PR",2019-12-16,2
"Ponce, PR",2019-12-17,2
"Ponce, PR",2019-12-18,2
"Ponce, PR",2019-12-19,0
"Ponce, PR",2019-12-20,0
"Ponce, PR",2019-12-21,2
"Ponce, PR",2019-12-22,2
"Ponce, PR",2019-12-23,0
"Ponce, PR",2019-12-24,0
"Ponce, PR",2019-12-25,0
"Ponce, PR",2019-12-26,2
"Ponce, PR",2019-12-27,0
"Ponce, PR",2019-12-28,0
"Ponce, PR",2019-12-29,2
"Ponce, PR",2019-12-30,2
"Ponce, PR",2019-12-31,2
"Bristol/Johnson City/Kingsport, TN",2019-12-14,2
"Bristol/Johnson City/Kingsport, TN",2019-12-15,1
"Bristol/Johnson City/Kingsport, TN",2019-12-16,1
"Bristol/Johnson City/Kingsport, TN",2019-12-17,2
"Bristol/Johnson City/Kingsport, TN",2019-12-18,0
"Bristol/Johnson City/Kingsport, TN",2019-12-19,0
"Bristol/Johnson City/Kingsport, TN",2019-12-20,1
"Bristol/Johnson City/Kingsport, TN",2019-12-21,1
"Bristol/Johnson City/Kingsport, TN",2019-12-22,2
"Bristol/Johnson City/Kingsport, TN",2019-12-23,2
"Bristol/Johnson City/Kingsport, TN",2019-12-24,1
"Bristol/Johnson City/Kingsport, TN",2019-12-25,1
"Bristol/Johnson City/Kingsport, TN",2019-12-26,1
"Bristol/Johnson City/Kingsport, TN",2019-12-27,1
"Bristol/Johnson City/Kingsport, TN",2019-12-28,1
"Bristol/Johnson City/Kingsport, TN",2019-12-29,1
"Bristol/Johnson City/Kingsport, TN",2019-12-30,2
"Bristol/Johnson City/Kingsport, TN",2019-12-31,1
"Pellston, MI",2019-12-14,1
"Pellston, MI",2019-12-15,1
"Pellston, MI",2019-12-16,1
"Pellston, MI",2019-12-17,3
"Pellston, MI",2019-12-18,3
"Pellston, MI",2019-12-19,1
"Pellston, MI",2019-12-20,1
"Pellston, MI",2019-12-21,1
"Pellston, MI",2019-12-22,0
"Pellston, MI",2019-12-23,0
"Pellston, MI",2019-12-24,1
"Pellston, MI",2019-12-25,2
"Pellston, MI",2019-12-26,1
"Pellston, MI",2019-12-27,1
"Pellston, MI",2019-12-28,2
"Pellston, MI",2019-12-29,2
"Pellston, MI",2019-12-30,3
"Pellston, MI",2019-12-31,3
"Kodiak, AK",2019-12-14,2
"Kodiak, AK",2019-12-15,2
"Kodiak, AK",2019-12-16,2
"Kodiak, AK",2019-12-17,2
"Kodiak, AK",2019-12-18,2
"Kodiak, AK",2019-12-19,0
"Kodiak, AK",2019-12-20,1
"Kodiak, AK",2019-12-21,1
"Kodiak, AK",2019-12-22,3
"Kodiak, AK",2019-12-23,1
"Kodiak, AK",2019-12-24,1
"Kodiak, AK",2019-12-25,3
"Kodiak, AK",2019-12-26,3
"Kodiak, AK",2019-12-27,3
"Kodiak, AK",2019-12-28,1
"Kodiak, AK",2019-12-29,3
"Kodiak, AK",2019-12-30,2
"Kodiak, AK",2019-12-31,3
"Rapid City, SD",2019-12-14,3
"Rapid City, SD",2019-12-15,3
"Rapid City, SD",2019-12-16,3
"Rapid City, SD",2019-12-17,0
"Rapid City, SD",2019-12-18,0
"Rapid City, SD",2019-12-19,0
"Rapid City, SD",2019-12-20,0
"Rapid City, SD",2019-12-21,0
"Rapid City, SD",2019-12-22,0
"Rapid City, SD",2019-12-23,1
"Rapid City, SD",2019-12-24,0
"Rapid City, SD",2019-12-25,3
"Rapid City, SD",2019-12-26,3
"Rapid City, SD",2019-12-27,1
"Rapid City, SD",2019-12-28,3
"Rapid City, SD",2019-12-29,3
"Rapid City, SD",2019-12-30,0
"Rapid City, SD",2019-12-31,0
"Salisbury, MD",2019-12-14,2
"Salisbury, MD",2019-12-15,0
"Salisbury, MD",2019-12-16,2
"Salisbury, MD",2019-12-17,2
"Salisbury, MD",2019-12-18,1
"Salisbury, MD",2019-12-19,0
